verso,cancion
Podés pasear en limousine,DE LA CAMA AL LIVING
cortar las flores del jardín,DE LA CAMA AL LIVING
podés cambiar el sol,DE LA CAMA AL LIVING
y esconderte si no quieres verme.,DE LA CAMA AL LIVING
Puedes ver amanecer,DE LA CAMA AL LIVING
con caviar desde un hotel,DE LA CAMA AL LIVING
y no tienes un poquito de amor para dar.,DE LA CAMA AL LIVING
Yendo de la cama al living,DE LA CAMA AL LIVING
sientes el encierro,DE LA CAMA AL LIVING
yendo de la cama al living.,DE LA CAMA AL LIVING
Podés saltar de un trampolín,DE LA CAMA AL LIVING
batir un record en patín,DE LA CAMA AL LIVING
"podés hacer un gol,",DE LA CAMA AL LIVING
podés llevar tu luna al cielo,DE LA CAMA AL LIVING
Puedes ser un gran campeón,DE LA CAMA AL LIVING
jugar en la selección,DE LA CAMA AL LIVING
y no tienes un poquito de amor para dar.,DE LA CAMA AL LIVING
Yendo de la cama al living,DE LA CAMA AL LIVING
sientes el encierro,DE LA CAMA AL LIVING
yendo de la cama al living.,DE LA CAMA AL LIVING
Oh no no no,DE LA CAMA AL LIVING
no hay ninguna vibración,DE LA CAMA AL LIVING
aunque vives en el mundo de cine,DE LA CAMA AL LIVING
no hay señales de algo que vive en mí.,DE LA CAMA AL LIVING
Voy yendo de la cama al living,DE LA CAMA AL LIVING
sientes el encierro,DE LA CAMA AL LIVING
voy yendo de la cama al living.,DE LA CAMA AL LIVING
La indómita luz,POR VOS
se hizo carne en mí,POR VOS
y lo dejé todo por esta soledad,POR VOS
y leo revistas,POR VOS
en la tempestad,POR VOS
Hice sacrificio,POR VOS
abracé la cruz al amanecer,POR VOS
"rezo, rezo, rezo, rezo por vos",POR VOS
Morí sin morir,POR VOS
y me abracé al dolor,POR VOS
y lo dejé todo por esta soledad,POR VOS
ya se hizo de noche,POR VOS
y ahora estoy aquí,POR VOS
Mi cuerpo se cae,POR VOS
sólo veo la cruz al amanecer,POR VOS
"rezo, rezo, rezo, rezo por vos",POR VOS
Y curé mis heridas,POR VOS
y me encendí de amor,POR VOS
y quemé las cortinas,POR VOS
"y me encendí de amor,",POR VOS
de amor sagrado,POR VOS
Y entonces,POR VOS
